patient,run,task,file,channel,signal_type,sfreq,duration_seconds,mean,std,var,min,max,median,rms,ptp,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power
S004,R01,baseline_eyes_open,S004R01.edf,Fc5.,EEG,160.0,60.99375,-1.0581508498532468e-07,2.15520203969526e-05,4.6448958319066093e-10,-6.4521011761379e-05,0.00018603621562539942,-7.378362339275371e-07,2.155228015832365e-05,0.0002505572273867784,8.014146675158882e-10,0.6776459066257998,1.848484527676226e-10,0.15630085452810685,7.375875737033371e-11,0.06236761321668882,9.708696751241751e-11,0.08209306466205578,2.6442589767849878e-11,0.022358852967229337
S004,R01,baseline_eyes_open,S004R01.edf,Fc3.,EEG,160.0,60.99375,-1.2002533456752484e-07,2.2121389178481112e-05,4.893558591858212e-10,-6.875885426127349e-05,0.00016799016067040729,-5.336234897846816e-07,2.2121714790376428e-05,0.00023674901493168078,7.640556880742652e-10,0.659489627140298,1.7183154598221992e-10,0.14831526544402943,7.17587644494534e-11,0.06193810418465028,1.245470224806617e-10,0.10750194089154173,2.741480601751585e-11,0.023662908974846603
S004,R01,baseline_eyes_open,S004R01.edf,Fc1.,EEG,160.0,60.99375,-1.735090501207992e-07,2.192477109524224e-05,4.806955875787696e-10,-7.251363027347451e-05,0.00017668170678439881,-1.0107583146096171e-06,2.1925457645605562e-05,0.0002491953370578733,6.926136904763259e-10,0.6133554219881158,1.8190529585630089e-10,0.1610892204932933,7.80555248326228e-11,0.06912335119926949,1.4707611946580666e-10,0.13024567166335535,3.086863313224985e-11,0.027336224740239373
S004,R01,baseline_eyes_open,S004R01.edf,Fcz.,EEG,160.0,60.99375,-1.5967976596928006e-07,2.0605171271132893e-05,4.245730831127203e-10,-6.574464975286592e-05,0.0001652286041299729,-8.240947213642107e-07,2.060578998098302e-05,0.0002309732538828388,6.258913057164754e-10,0.6035513991740477,1.6698169071406036e-10,0.16102162172000645,7.27730854281974e-11,0.0701755993912105,1.4394444494081623e-10,0.13880664318848424,2.873797684101334e-11,0.027712233695225796
S004,R01,baseline_eyes_open,S004R01.edf,Fc2.,EEG,160.0,60.99375,-1.6130660280132148e-07,2.0848081770501206e-05,4.346425135095047e-10,-6.635290150623353e-05,0.0001668193892887724,-8.050680068945483e-07,2.0848705795075434e-05,0.00023317229079500594,6.399292765816583e-10,0.6035108482059338,1.707567145119123e-10,0.16103893568118774,7.449280296664804e-11,0.07025341135162533,1.470093575721481e-10,0.1386430428007698,2.9469460072835064e-11,0.02779235064807683
S004,R01,baseline_eyes_open,S004R01.edf,Fc4.,EEG,160.0,60.99375,-8.934705724375783e-08,2.387069622428779e-05,5.698101382322274e-10,-6.782982041732559e-05,0.0002323191544630373,-1.0948252639023886e-06,2.3870863434925548e-05,0.0003001489748803629,9.938528856784585e-10,0.6801020247723961,2.3857823209587223e-10,0.1632611235054728,6.768666248327283e-11,0.046318561698932344,1.2297100261175446e-10,0.0841501081998202,3.9252080735092326e-11,0.02686053435991394
S004,R01,baseline_eyes_open,S004R01.edf,Fc6.,EEG,160.0,60.99375,-9.03018074306079e-08,2.3738358332103724e-05,5.635096563033584e-10,-6.743703380707595e-05,0.00023109007419514578,-1.0594580697033872e-06,2.373853008759775e-05,0.00029852710800222173,9.842862162956524e-10,0.6795669540639343,2.354890781221885e-10,0.16258542778044016,6.684269943199785e-11,0.046149269290153005,1.2341236933205396e-10,0.08520587460467482,3.940194916726229e-11,0.027203736206477112
S004,R01,baseline_eyes_open,S004R01.edf,C5..,EEG,160.0,60.99375,-1.0711813347417602e-07,1.89606694013489e-05,3.5950698414724854e-10,-7.011726135520153e-05,0.00013000623866584596,-9.029535737303994e-07,1.8960971980406688e-05,0.00020012350002104748,4.6201268150069003e-10,0.5711183109900079,1.3489231746474514e-10,0.16674752793745148,8.042847391326718e-11,0.09942189038544921,1.0581174760356443e-10,0.13079949748989408,2.681491118901287e-11,0.033147329934477616
S004,R01,baseline_eyes_open,S004R01.edf,C3..,EEG,160.0,60.99375,-1.225164874883961e-07,1.913404426533939e-05,3.661116499479672e-10,-6.71087453984736e-05,0.00013448881837274884,-2.762072612464366e-07,1.9134436501702205e-05,0.00020159756377122244,4.983786743603274e-10,0.5769172756054386,1.3426703753148775e-10,0.15542593911286595,7.770932385948327e-11,0.08995539680283432,1.2863820571490943e-10,0.1489100697879403,2.58478423618546e-11,0.029921157470912552
S004,R01,baseline_eyes_open,S004R01.edf,C1..,EEG,160.0,60.99375,-1.4672528200202335e-07,1.883190105897972e-05,3.5464049749520144e-10,-6.008085215488387e-05,0.00014428542751967682,-6.945928046841704e-07,1.883247264178499e-05,0.00020436627967456068,4.6400595147919444e-10,0.5447124925740859,1.392517251632557e-10,0.16347237372087825,7.508703985901923e-11,0.08814725007562767,1.465633854050275e-10,0.17205578232254345,2.8274030151068838e-11,0.033191853228619936
